pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
s2---w0.5	3	3	5	4	0	0	1	2	0	0	0	0	0
s2---w2	6	6	10	5	7	1	1	2	1	0	0	0	0
s2---w3	3	2	5	2	4	3	0	0	0	0	0	0	0
s2---w4	8	17	12	7	9	4	2	4	1	0	0	0	0
s3---h5	0	0	0	1	0	0	0	0	0	0	0	0	0
s3---h6	2	0	1	0	0	0	0	0	0	0	0	0	0
s3---h7	0	1	5	2	2	1	0	1	0	0	0	0	0
s3---h8	3	5	1	1	0	2	0	0	0	0	0	0	0
s3---h9	1	2	1	0	0	0	0	0	0	0	0	0	0
s3---l0.5	0	1	1	0	0	0	0	0	0	0	0	0	0
s3---l1	4	11	6	0	1	1	0	0	0	0	0	0	0
s3---l2	4	12	3	2	1	0	0	0	0	0	0	0	0
s3---w0.5	2	5	4	5	0	2	1	0	0	0	0	0	0
s4---h10	0	0	1	0	0	0	0	0	0	0	0	0	0
s4---h6	1	1	1	0	0	0	0	0	0	0	0	0	0
s4---h7	0	7	7	0	0	0	0	0	0	0	0	0	0
s4---h8	1	5	2	2	1	0	0	0	0	0	0	0	0
s4---h9	0	1	0	1	0	0	0	0	0	0	0	0	0
s4---l2	0	0	1	0	0	0	0	0	0	0	0	0	0
s4---l6	4	10	9	1	1	0	0	1	0	0	0	0	0
s4---w2	1	5	4	0	1	2	0	0	0	0	0	0	0
s4---w3	2	5	13	2	4	4	1	0	0	0	0	0	0
s5---l3	1	2	0	0	0	0	0	0	0	0	0	0	0
s7---h7	0	1	0	0	0	0	0	0	0	0	0	0	0
s7---h8	1	1	0	0	0	0	0	0	0	0	0	0	0
s7---h9	0	1	0	0	0	0	0	0	0	0	0	0	0
s8---w5	3	5	4	5	2	0	0	0	0	0	0	0	0
w0.5---e2	5	10	4	3	1	0	0	0	0	0	0	0	0
w0.5---h10	0	6	6	4	3	0	1	0	0	0	0	0	0
w0.5---h2	0	13	5	3	4	1	0	0	0	0	0	0	0
w0.5---h4	0	0	0	0	1	0	0	0	0	0	0	0	0
w0.5---h5	2	2	8	2	1	1	1	0	0	0	0	0	0
w0.5---h6	6	34	24	16	6	5	0	0	1	0	0	0	0
w0.5---h7	32	57	76	37	18	13	5	4	1	0	2	0	1
w0.5---h8	36	67	54	45	14	8	6	3	1	0	0	0	0
w0.5---h9	9	17	22	9	3	11	1	1	0	0	0	0	0
w0.5---l0.5	19	45	14	7	2	1	0	0	0	0	0	0	0
w0.5---l1	25	35	19	1	3	2	0	0	0	0	0	0	0
w0.5---l12	5	13	2	0	0	0	0	0	0	0	0	0	0
w0.5---l2	25	73	25	2	1	4	0	0	0	0	0	0	0
w0.5---l3	14	23	14	3	2	1	0	0	0	0	0	0	0
w0.5---l4	104	128	52	11	6	0	0	0	0	0	0	0	1
w0.5---l5	29	43	19	4	1	0	0	0	0	0	0	0	0
w0.5---l6	5	19	9	0	1	0	0	0	0	0	0	0	0
w0.5---l7	9	15	11	4	1	0	0	0	0	0	0	0	0
w0.5---s0.5	36	69	35	7	2	1	0	0	0	0	0	0	0
w0.5---s1	15	24	10	3	2	1	0	0	0	0	0	0	0
w0.5---s3	6	7	4	0	0	2	0	0	0	0	0	0	0
w1---h10	1	1	0	2	0	0	0	0	0	0	0	0	0
w1---h4	0	1	0	0	0	0	0	0	0	0	0	0	0
w1---h5	1	5	5	2	3	1	0	0	0	0	0	0	1
w1---h6	6	6	7	6	3	3	0	0	0	0	0	0	0
w1---h7	13	13	14	8	7	3	1	1	1	0	0	0	0
w1---h8	9	26	19	4	5	4	2	2	1	0	0	0	0
w1---h9	4	9	7	4	1	1	0	0	0	0	0	0	0
w1---l0.5	8	12	4	3	1	0	0	0	0	0	0	0	0
w1---l1	15	21	8	0	0	0	0	0	0	0	0	0	0
w1---l2	33	94	37	10	7	0	1	0	0	0	0	0	0
w1---l3	18	40	16	6	3	0	0	0	0	0	1	0	0
w1---l4	12	19	10	0	0	0	0	1	0	0	0	0	0
w1---s0.5	3	13	5	2	0	0	0	0	0	0	0	0	0
w1---s1	26	46	20	5	2	0	0	0	0	0	0	0	0
